From,To
1425323_a_at,214917
1420463_at,27278
1421683_at,100041639
1421683_at,100041586
1421683_at,21647
1449345_at,68201
1418704_at,20196
1437345_a_at,14705
1436337_at,652925
1416775_at,66349
1423287_at,100046314
1423287_at,12404
1425463_at,14465
1432414_at,100036539
1424871_s_at,207740
1448561_at,668181
1448561_at,17970
1438391_x_at,15108
1428449_at,17527
1428449_at,71752
1449027_at,69581
1428044_at,11778
1423523_at,30956
1448691_at,94232
1459892_at,101438
1426626_at,68705
1422587_at,56277
1424764_at,56747
1455060_at,27041
1455742_x_at,225228
1455742_x_at,21761
1455742_x_at,624582
1455742_x_at,627352
1455742_x_at,667490
1425744_a_at,107895
1422619_at,19012
1419349_a_at,13105
1426402_at,56403
1459916_at,18507
1425826_a_at,20411
1426455_at,67285
1451024_at,13611
1435714_x_at,100046772
1424082_at,70296
1418695_a_at,74287
1451652_a_at,382030
1451486_at,71706
1418136_at,21804
1422215_at,67648
1418589_a_at,17349
1427115_at,17883
1420799_at,18216
1420799_at,100047803
1418204_s_at,11629
1424687_at,217026
1423612_at,98985
1428803_at,217700
1418196_at,21745
1422497_at,69048
1426722_at,67760
1439110_at,227923
1451764_at,73608
1449532_at,11449
1454706_at,78610
1435573_at,54644
1419154_at,50528
1418777_at,20300
1431724_a_at,70839
1449858_at,12524
1426844_a_at,68079
1426875_s_at,76650
1434842_s_at,100135653
1434842_s_at,68134
1434842_s_at,67050
1434842_s_at,385343
1451244_a_at,67255
1423269_a_at,83814
1424523_at,140580
1416257_at,12334
1435561_at,13875
1438250_s_at,545600
1438250_s_at,108143
1438250_s_at,100043759
1438250_s_at,100048542
1417259_a_at,12345
1416332_at,12696
1424028_at,214987
1424028_at,100039358
1449525_at,14262
1452381_at,208647
1425575_at,13837
1429620_at,74528
1419350_at,170833
1420552_s_at,60600
1416985_at,19261
1423783_at,30933
1423888_at,71718
1421732_at,14659
1422716_a_at,665717
1422716_a_at,100046234
1422716_a_at,631286
1422716_a_at,677788
1422716_a_at,11431
1449277_at,100040035
1449277_at,100039789
1449277_at,100039053
1449277_at,24047
1449277_at,100039848
1448317_at,66309
1423320_at,66705
1423320_at,100047816
1415796_at,23994
1415796_at,100044943
1415796_at,100039826
1452726_a_at,68845
1427863_at,97114
1427863_at,15077
1427863_at,319151
1427863_at,15267
1427863_at,319150
1427863_at,260423
1427863_at,319149
1427863_at,319192
1427863_at,319148
1427863_at,319154
1423434_at,21676
1435981_at,78286
1416584_at,17160
1422541_at,19274
1417710_at,59052
1434239_at,107094
1418742_at,16672
1449563_at,12805
1417655_a_at,83701
1449598_at,68184
1431056_a_at,16956
1431056_a_at,669888
1426316_at,230279
1431711_a_at,71529
1416250_at,12227
1416583_at,12015
1427965_at,666646
1427965_at,381760
1419522_at,67187
1419522_at,100046761
1419047_at,54604
1451413_at,12380
1451731_at,27410
1417397_at,20544
1423149_at,665334
1423149_at,21402
1449368_at,13179
1436186_at,108961
1450805_at,24052
1418340_at,14127
1417545_at,63873
1434410_at,224273
1455184_at,68473
1418107_at,21400
1418036_at,19076
1435998_at,239083
1449301_at,74087
1443696_s_at,226243
1423492_at,67036
1422514_at,11568
1426241_a_at,29871
1456736_x_at,75734
1456736_x_at,637796
1417891_at,79043
1424131_at,12835
1434611_at,84585
1437853_x_at,17984
1424366_at,227697
1439437_x_at,12876
1439437_x_at,677374
1439437_x_at,100046434
1416145_at,13204
1417381_at,12259
1433495_at,234407
1417447_at,21412
1424544_at,223649
1418953_at,50759
1416288_at,15502
1416288_at,100048597
1416288_at,100043546
1416288_at,665839
1416288_at,111256
1416288_at,622570
1418931_at,67709
1415675_at,13481
1428108_x_at,68875
1420687_at,74387
1460232_s_at,15493
1421272_at,22325
1419530_at,16160
1422272_at,18689
1419798_at,75614
1417830_at,24061
1448529_at,21824
1420466_at,20771
1425128_at,232984
1454670_at,68703
1418738_at,20266
1429150_at,67200
1452408_at,22040
1419735_at,12994
1436689_a_at,56752
1423923_a_at,59002
1448583_at,101985
1448571_a_at,63985
1449974_at,14447
1427434_at,17940
1427434_at,17950
1427434_at,53880
1427434_at,17952
1422431_at,107528
1450872_s_at,16889
1452774_at,630401
1452774_at,665114
1452774_at,625989
1452774_at,620454
1452774_at,630507
1452774_at,229279
1452774_at,622592
1452774_at,668131
1452774_at,635773
1452774_at,667013
1452774_at,545955
1452774_at,621710
1452774_at,433686
1452774_at,627455
1452774_at,674654
1452774_at,668559
1452774_at,624800
1452774_at,665241
1452774_at,627828
1452774_at,432946
1452774_at,624454
1452774_at,433770
1452774_at,545592
1452774_at,545974
1435479_at,12162
1418060_a_at,23939
1419302_at,56198
1420722_at,12686
1426945_at,100044315
1426945_at,70572
1448445_at,66659
1424365_at,67704
1424365_at,100039078
1424365_at,100042071
1424365_at,100039181
1418081_at,66114
1451664_x_at,16638
1417228_at,12333
1418358_at,17235
1426579_at,230737
1415959_at,20528
1419174_at,66421
1428675_at,100047869
1424067_at,15894
1416884_at,628648
1416884_at,109828
1416884_at,633016
1416884_at,677441
1416884_at,665631
1416884_at,632383
1416884_at,382769
1416884_at,12417
1416884_at,628794
1416884_at,544944
1416884_at,665057
1424872_at,69504
1437330_at,233328
1434735_at,217082
1420664_s_at,19124
1416822_at,27886
1453314_x_at,66578
1416303_at,56722
1416550_at,58246
1452396_at,224432
1433855_at,268860
1424327_at,628119
1424327_at,75430
1424327_at,668792
1455245_x_at,635497
1455245_x_at,100040416
1455245_x_at,280047
1455245_x_at,675192
1455245_x_at,668182
1455245_x_at,640264
1455245_x_at,100047098
1455245_x_at,100040605
1455245_x_at,270106
1455245_x_at,674921
1455245_x_at,100039656
1419219_at,100044439
1419219_at,72054
1427479_at,100039129
1427479_at,640794
1427479_at,641136
1427479_at,100039226
1427479_at,666806
1427479_at,546233
1427479_at,432715
1427479_at,666862
1427479_at,100039042
1427479_at,544883
1427479_at,630607
1427479_at,100039076
1420367_at,68184
1435468_at,97440
1428455_at,12818
1438748_at,78832
1426206_at,74144
1452048_at,56282
1420683_at,171388
1419743_s_at,59035
1419814_s_at,20193
1418526_at,432730
1418526_at,632268
1418526_at,14105
1449584_at,110197
1421536_at,57249
1419561_at,20302
1448280_at,20977
1455829_at,59025
1423657_at,52858
1417281_a_at,26561
1432466_a_at,11816
1435176_a_at,15902
1416295_a_at,245536
1416295_a_at,16186
1419724_at,13608
1424948_x_at,14972
1424948_x_at,100044874
1433958_at,216846
1422249_s_at,22639
1424951_at,66898
1452311_at,74129
1449971_a_at,69142
1460703_at,69090
1417436_at,16795
1438808_at,22059
1426813_at,353258
1449963_at,75586
1424748_at,231050
1420781_at,114660
1449098_a_at,26447
1422340_a_at,11468
1422153_a_at,68854
1448245_at,226574
1448245_at,636901
1448245_at,622655
1448245_at,665237
1448245_at,432548
1448245_at,665145
1448245_at,668731
1448245_at,100040633
1448245_at,100045834
1448245_at,668277
1448245_at,433141
1448245_at,676179
1448245_at,666774
1448245_at,100045332
1448245_at,16785
1448245_at,665412
1448245_at,433712
1448245_at,677099
1421199_at,23859
1417105_at,59005
1419979_s_at,12913
1449580_s_at,14999
1417296_at,100047421
1417296_at,11908
1417296_at,100040260
1424812_at,233913
1416525_at,20747
1437661_at,239691
1430643_at,17686
1419440_at,58522
1415791_at,80751
1416008_at,20230
1419471_a_at,18221
1419471_a_at,384793
1420217_x_at,26423
1426410_at,236900
1434432_at,67338
1452150_at,100317
1419308_at,16348
1437523_s_at,24053
1453324_at,76155
1423054_at,22388
1451679_at,76219
1451679_at,76976
1417777_at,67103
1421982_a_at,67387
1426880_at,208618
1420797_at,18419
1456697_x_at,23857
1450953_at,26371
1416600_a_at,54720
1436682_at,100043712
1436682_at,666300
1436682_at,19240
1436682_at,100048142
1436682_at,100042318
1455348_x_at,668080
1455348_x_at,638858
1455348_x_at,383770
1455348_x_at,665032
1455348_x_at,100046734
1455348_x_at,675793
1455348_x_at,383080
1455348_x_at,545683
1455348_x_at,100039782
1455348_x_at,667062
1455348_x_at,547008
1455348_x_at,666389
1455348_x_at,667869
1455348_x_at,628276
1455348_x_at,665029
1455348_x_at,622707
1455348_x_at,670211
1455348_x_at,19944
1455348_x_at,668863
1455348_x_at,100044494
1455348_x_at,433941
1455348_x_at,545718
1455348_x_at,667269
1455348_x_at,667886
1455348_x_at,674202
1455348_x_at,667338
1455348_x_at,666111
1455348_x_at,666642
1455348_x_at,666305
1452226_at,100047340
1452226_at,108911
1448472_at,22321
1417942_at,72434
1460233_at,14916
1418995_at,18013
1416271_at,64058
1428922_at,66873
1451396_at,217734
1416481_s_at,56295
1416053_at,16979
1418687_at,11838
1451984_at,232989
1421319_at,19221
1434199_at,210573
1449710_s_at,11946
1421772_a_at,20463
1421772_a_at,629383
1437782_at,66797
1431335_a_at,67866
1460370_at,72960
1424358_at,218793
1447986_at,97670
1452061_s_at,20744
1426835_at,75624
1421104_at,626578
1421104_at,76074
1421104_at,634650
1418356_at,246221
1420485_at,70078
1455644_at,68299
1433924_at,100169889
1433924_at,18616
1450597_at,57251
1433594_at,52245
1450917_at,17930
1426439_at,26900
1424814_a_at,66813
1419466_at,72293
1425864_a_at,58178
1416895_at,13636
1417717_a_at,22173
1419833_s_at,106952
1421928_at,13838
1424045_at,70544
1452593_a_at,67923
1452593_a_at,100045866
1418391_at,192285
1426698_a_at,76936
1456014_s_at,108101
1418765_at,171284
1439018_at,229474
1452704_at,67809
1436995_a_at,100039988
1436995_a_at,100034726
1436995_a_at,100041164
1436995_a_at,665373
1436995_a_at,666717
1436995_a_at,19941
1436995_a_at,668485
1423855_x_at,100042880
1423855_x_at,100042067
1423855_x_at,100046300
1423855_x_at,100047874
1423855_x_at,666911
1423855_x_at,100045527
1423855_x_at,100048228
1423855_x_at,100040929
1423855_x_at,100040745
1423855_x_at,640532
1423855_x_at,319195
1423855_x_at,667711
1423855_x_at,100042347
1423855_x_at,666933
1423855_x_at,666395
1423855_x_at,545379
1423855_x_at,100041933
1450921_at,100047052
1450921_at,66408
1419518_at,53857
1417889_at,11811
1417889_at,100044755
1416376_at,69071
1416376_at,545152
1449959_x_at,67718
1421819_a_at,671392
1421819_a_at,435727
1421819_a_at,100047898
1421819_a_at,638487
1421819_a_at,632352
1421819_a_at,544884
1421819_a_at,100048536
1421819_a_at,628135
1421819_a_at,625349
1421819_a_at,56086
1421819_a_at,434632
1451540_at,110119
1422922_at,79456
1416536_at,68114
1434332_at,666730
1434332_at,108946
1421482_at,140475
1420589_at,15118
1420589_at,100047776
1420756_at,14347
1418208_at,18510
1417359_at,17150
1417870_x_at,64138
1424524_at,71712
1449969_at,50874
1417659_at,56433
1421689_at,16704
1445689_at,56878
1421645_at,80982
1451431_a_at,52840
1454161_s_at,58520
1437165_a_at,18542
1418071_s_at,12593
1418071_s_at,665321
1435394_s_at,11853
1422710_a_at,58226
1424622_at,15499
