Symbol,Affi_ID
Adfp,1448318_at
Emg1,1416393_at
Bag1,1416394_at
Guk1,1416395_at
Snx4,1460182_at
Mesdc1,1416398_at
Hmox2,1416399_a_at
Pycrl,1416400_at
Cd82,1416401_at
Abcb10,1416402_at
Smoc1,1448321_at
Cox4i1,1448322_a_at
LOC100039355 /// LOC100048153 /// Rps16,1416404_s_at
Bgn,1416405_at
Pea15a,1416406_at
Myd116,1448325_at
Acox1,1416408_at
Crabp1,1448326_a_at
Pafah1b3,1416410_at
Actn2,1448327_at
Gstm2,1416411_at
Nsmaf,1416412_at
Ctsj,1416413_at
Emilin1,1416414_at
Sh3bp2,1448328_at
Adam3,1448329_at
H2afz,1416415_a_at
Gstm1,1448330_at
Ndufb7,1448331_at
Gabarapl1,1416419_s_at
EG637379 /// LOC100040021 /// LOC100042823 /// LOC100042832 /// LOC100045565 /// LOC100046185 /// LOC100048162 /// Rpl9,1416420_a_at
Ssb,1416422_a_at
M6prbp1,1416424_at
Pex19,1448332_at
Adprh,1448333_at
Rab5a,1416426_at
Ccni,1448334_a_at
Thap11,1416428_at
Cat,1416430_at
Tubb6,1416431_at
Pfkfb3,1416432_at
Drg1,1448336_at
Rpa2,1416433_at
Bcl2l10,1416434_at
Ltbr,1416435_at
Uqcc,1448337_at
Mrpl38,1447961_s_at
Mapk8ip3,1425975_a_at
EG629036 /// Erh /// LOC100042777,1430536_a_at
Puf60,1416438_at
2410015N17Rik,1416439_at
Cd164,1416440_at
Pgcp,1416441_at
Ier2,1416442_at
Sae1,1416443_a_at
Elovl2,1416444_at
2810405J04Rik,1416445_at
Tmem30a,1448339_at
Itpa,1416448_at
Stxbp2,1448341_a_at
Mapk10,1448342_at
Taf8,1416451_s_at
Nbr1,1448343_a_at
Necab3,1431946_a_at
Oat,1416452_at
EG432865 /// EG668354 /// LOC100039751 /// LOC627835 /// LOC665281 /// LOC665325 /// LOC665364 /// LOC668406 /// LOC670832 /// LOC671641 /// LOC676277 /// Rps12,1448344_at
Acta2,1416454_s_at
Psma5,1424681_a_at
Cryab,1416455_a_at
Hadh,1460184_at
Chia,1416456_a_at
Ddah2,1416457_at
Tomm34,1448345_at
Arf2,1416458_at
Cfl1,1448346_at
Miox,1416460_at
Vapa,1416466_at
Asl,1448350_at
Eif4enif1,1431075_a_at
Ddx3x /// LOC100045923,1416467_at
Coro1b,1448351_at
Aldh1a1,1416468_at
Luzp1,1416469_at
Rpn1,1416470_a_at
Cept1,1416471_at
Syap1,1416472_at
G6pdx,1448354_at
Anxa5,1425567_a_at
Prss16,1448355_at
Nope,1416473_a_at
Ube2d2,1416476_a_at
LOC100041725 /// LOC100041766 /// Ube2d2,1416477_at
Mdh2,1416478_a_at
Snrpg,1448357_at
EG666609 /// Snrpg,1448358_s_at
Tmem14c,1416479_a_at
